X	Y	Z
8.095	-1.619	2.209
8.030	-1.686	2.296
8.113	-1.693	2.265
8.094	-1.669	2.307
8.061	-1.647	2.270
8.029	-1.609	2.266
8.083	-1.601	2.271
8.124	-1.618	2.305
8.147	-1.619	2.219
8.148	-1.726	2.285
8.160	-1.634	2.266
8.203	-1.609	2.305
8.031	-1.546	2.211
8.075	-1.569	2.223
8.127	-1.557	2.245
8.061	-1.495	2.218
8.118	-1.509	2.227
8.038	-1.538	2.263
8.038	-1.578	2.310
8.109	-1.568	2.307
8.055	-1.482	2.267
8.109	-1.477	2.271
8.088	-1.524	2.286
8.170	-1.494	2.214
8.241	-1.505	2.245
8.159	-1.579	2.283
8.248	-1.577	2.309
8.193	-1.538	2.310
8.168	-1.507	2.262
8.185	-1.485	2.311
8.239	-1.511	2.294
7.964	-1.735	2.358
7.997	-1.809	2.381
8.061	-1.817	2.374
8.112	-1.810	2.368
8.021	-1.766	2.325
8.047	-1.768	2.374
8.073	-1.730	2.341
8.087	-1.826	2.438
8.123	-1.795	2.421
8.086	-1.753	2.406
8.157	-1.734	2.359
8.167	-1.832	2.398
8.147	-1.743	2.407
8.191	-1.773	2.425
8.127	-1.831	2.500
8.046	-1.764	2.484
8.094	-1.771	2.462
8.125	-1.731	2.452
8.086	-1.733	2.543
8.160	-1.798	2.474
8.179	-1.747	2.489
8.139	-1.736	2.527
7.871	-1.692	2.339
7.871	-1.642	2.319
7.871	-1.647	2.381
7.934	-1.671	2.341
7.996	-1.692	2.353
7.922	-1.617	2.333
7.966	-1.640	2.373
7.999	-1.602	2.370
7.982	-1.656	2.430
7.991	-1.601	2.426
7.892	-1.578	2.352
7.931	-1.543	2.365
7.988	-1.543	2.370
7.990	-1.492	2.355
7.908	-1.572	2.411
7.913	-1.514	2.403
7.979	-1.504	2.406
7.837	-1.603	2.523
7.970	-1.638	2.487
7.920	-1.648	2.529
7.889	-1.605	2.512
7.957	-1.614	2.533
7.805	-1.514	2.501
7.806	-1.540	2.563
7.850	-1.537	2.521
7.870	-1.555	2.566
7.837	-1.488	2.533
7.989	-1.558	2.503
7.894	-1.526	2.483
7.932	-1.569	2.506
7.922	-1.594	2.566
7.966	-1.565	2.550
7.929	-1.513	2.523
7.887	-1.490	2.543
7.997	-1.506	2.558
8.053	-1.680	2.342
8.125	-1.705	2.330
8.014	-1.633	2.332
8.061	-1.611	2.342
8.090	-1.644	2.374
8.035	-1.716	2.385
8.061	-1.719	2.439
8.059	-1.667	2.433
8.088	-1.706	2.391
8.127	-1.668	2.419
8.027	-1.633	2.401
8.116	-1.602	2.377
8.078	-1.617	2.431
8.163	-1.671	2.326
8.168	-1.697	2.398
8.148	-1.653	2.376
8.178	-1.645	2.422
8.037	-1.555	2.363
8.088	-1.556	2.354
8.053	-1.509	2.352
8.108	-1.491	2.339
8.039	-1.586	2.418
8.057	-1.536	2.436
8.101	-1.565	2.407
8.116	-1.516	2.387
8.149	-1.567	2.342
8.232	-1.536	2.342
8.174	-1.570	2.386
8.151	-1.594	2.430
8.220	-1.536	2.395
